Rating,Working Capital,Column2,Column3,Column4,Column5,Quick Ratio,Column6,Column7,Column8,Column9,EPS,Column10,Column11,Column12,Column13,PE Ratio,Column14,Column15,Column16,Column17,Short to Long Term Debt,Column18,Column19,Column20,Column21,ROE,Column22,Column23,Column24,Column25,Current,Column26,Column27,Column28,Column29,Net Project Margin,Column30,Column31,Column32,Column33,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
4,-10099,-13223,-3217,-7021,-2199,0.56,0.5,0.58,0.69,0.81,3.56,0.98,0.58,1.17,0.25,16.91,24.83,26.56,32.46,27.66,56961,58234,47137,51932,59555,19.95,18.05,16.06,14.81,5.97,0.77,0.7,0.9,0.8,0.94,36.54,8.69,5.52,10.1,2.55,2997485.75,3716376.75,3338796.75,2832105.5,142.45,145.65,99.58,112.18
5,7110,7476,7555,4740,3965,1.14,1.17,1.02,0.82,0.86,1.48,1.56,1.53,1.66,1.57,32.69,33.59,32,34.1,28.81,16630,16694,16729,17262,18479,38.75,41.48,41.83,42.35,43.09,1.62,1.69,1.56,1.27,1.25,54.19,53.1,49.29,54.05,52.68,2755286.75,3354147.5,2927934.5,2998494.5,176.66,189.19,169.44,195.67
3,5792,5310,6706,6638,5929,2.56,2.13,3.19,3.04,2.54,1.29,1.38,1.51,1.14,1.25,18.83,20.64,24.04,24.58,19.53,6153,6159,6147,6135,6550,56.29,55.4,52.86,55.72,60.86,3.68,3.01,4.34,4.13,3.49,33.86,35.58,37.79,31.94,35.27,2293880.25,2511107.5,2350115.25,2428149,115.75,126.96,108.96,125.81
4,23638,19398,16043,17119,17965,1.67,1.56,1.39,1.54,1.64,0.63,0.7,0.52,0.69,0.68,21.26,20.61,17.82,16.91,13.7,25630,23698,24666,19644,17093,27.74,31.67,30.27,28.1,28.97,1.8,1.69,1.51,1.7,1.81,22.67,23.49,16.43,22.24,23.97,8877948,9096618,8177218,11953928,56.6,47.8,41.43,45.63
3,-18180,-19158,-17431,-14150,-17000,0.47,0.46,0.43,0.5,0.43,0.56,0.51,0.5,0.33,0.63,10.59,13.57,16.19,17.09,13.03,196805,194474,190917,188402,189296,11.36,9.47,8.92,7.55,7.93,0.72,0.71,0.74,0.79,0.76,9.14,8.26,8.3,5.11,10.78,10495178,10787419,9614975,13875594,34.3,39.1,29.44,30.08
5,4150,4668,4133,4998,8411,0.95,0.96,0.78,0.86,1.34,1.81,2.01,2.08,2.08,1.68,31.66,34.53,34.06,38.32,30.87,6705,8224,8219,9289,12466,114.6,130.7,129,143.83,150.46,1.41,1.49,1.39,1.42,1.87,47.88,49.79,47.19,47.58,42.23,1126831.88,1465921.25,1206140.5,1137629.25,272.14,301.23,265.94,302.42
4,1361.4,1599.1,1833.2,1934.4,1384,0.56,0.59,0.56,0.59,0.54,4.33,1.44,1.37,1.64,1.6,26.4,21.84,21,22.64,22.05,16587,16407.8,15836.8,15925.6,17230.3,73.57,109.42,96.58,133.78,199.07,1.12,1.13,1.17,1.16,1.11,83.3,23.55,22.9,24.46,24.86,1240884.25,1283792.25,1082484.125,1113159.25,112.82,132.26,141.61,163.87
4,-802,-547,248,378,1008,0.41,0.43,0.47,0.45,0.47,2.02,2.06,2.49,1.91,2.1,31.04,33.09,34.65,34.64,33.25,6492,6498,6849,9818,8775,26.93,27.08,26.1,25.74,24.8,0.96,0.98,1.01,1.01,1.04,2.51,2.61,2.31,2.28,2.38,1091635.88,1170052.5,1103422.875,955444.625,268.25,291.81,305.12,305.74
4,8252,28005,29702,11050,12621,1.51,3.49,3.51,1.19,1.33,1.05,0.88,0.83,-0.55,-0.34,11.43,10.5,11.69,15.61,17.25,6585,25561,25529,47538,47530,36.73,43.74,36.15,10.48,2.93,1.93,3.88,3.83,1.6,1.66,28.89,22.83,22.52,-13.29,-7.19,4549094,3980313.25,4070927.25,3731863.5,45.89,62.98,57.87,59.14
5,6509,6457,6257,5759,6200,1.63,1.63,1.57,1.38,1.45,0.81,0.71,0.61,0.76,0.97,10.18,13.08,16.52,20.54,14.7,5310,5311,5312,5313,5474,43.6,42.12,37.01,35.94,33.52,2.72,2.79,2.65,2.3,2.36,20.54,18.82,16.03,18.59,21.43,3151912.25,3448972.75,3356732.25,2897706.75,43.98,59.89,46.15,61
4,3999,1636,2249,2911,7373,0.63,0.58,0.59,0.6,0.67,1.58,2.22,1.34,1.33,-0.1,9.76,9.58,10.09,10.92,6.87,47788,48089,47255,46336,48445,15.14,14.34,14,13.8,10.38,1.13,1.05,1.06,1.08,1.23,7.33,9.68,5.89,5.85,-0.46,2915374.5,2495095.25,3261795.25,2968599.5,78.17,90.64,57.56,61.79
4,-1309,-1579,-514,-892,-837,0.53,0.52,0.65,0.57,0.62,1.94,2.23,2.22,2.03,2.15,20.52,20.15,19.14,21.54,16.39,27192,27306,27654,27033,29541,28.71,32.08,31.4,30.71,35.59,0.75,0.72,0.89,0.8,0.82,25.84,28.06,28.19,26.92,28.19,1067498.25,1143990.125,1052241.375,1099647.625,170.03,179.43,147.85,169.08
5,5447.6,6595.7,14419.7,20664.5,2677,1.58,1.78,2.99,4.68,0.92,0.46,0.99,0.9,1.75,0.83,40.16,43.14,43.22,44.03,39.71,10480.9,11263.4,18603.8,22526,26831.5,8.43,8.46,8.29,10.33,10.73,2.18,2.32,3.43,5.19,1.32,7.91,14.18,13.26,26.19,13.7,814926.56,877931.25,829035.6875,793702.375,144.45,154.61,141.94,179.68
5,6808,4213,5458,5263,2691,0.88,0.75,0.8,0.78,0.66,1.13,1.04,0.74,0.92,1.27,18.51,17.66,16.62,17.5,14.05,26921,27580,27108,27350,27998,27.44,31.12,31.43,37.42,37.76,1.37,1.21,1.26,1.24,1.11,26.95,22.7,15.33,19.86,26.7,3192434.25,3638615.5,3075071.25,2835481.25,85.6,91.64,80.31,78.78
5,8515,8659,8158,8105,7464,1.18,1.14,1.03,1,0.92,0.7,0.63,0.87,0.71,0.54,32.89,33.71,35.04,35.42,28.45,3487,3479,6821,6922,6656,44.57,42.74,47.32,50.58,47.96,2.17,2.1,2.01,1.98,1.9,11.46,9.71,12.82,10.8,8.38,2126491.25,2230557.5,1895952.625,2989131.25,86.82,101.83,84.63,98.43
4,-5210,-4906,-4314,-7395,-352,0.69,0.7,0.71,0.62,0.75,1.22,0.95,1.26,1.23,1,12.45,11.97,12.57,11.48,9.95,135627,134779,130772,133143,139184,30.04,29.17,28.41,33.64,31.69,0.87,0.87,0.89,0.84,0.99,15.66,12.3,15.79,14.65,13.15,5003477,5049781,4528555,5739611.5,58.31,60.27,56.7,54.79
4,-6058,-7538,-8328,-11247,-5756,0.53,0.51,0.48,0.38,0.61,1.07,-2.12,1.41,1.47,1.15,24.66,26.24,27.35,26.49,22.73,30270,30092,30406,29065,36901,20.04,7.58,8.31,9.32,9.57,0.79,0.75,0.72,0.63,0.83,16.67,-30.66,20.19,20.38,16.95,2440935.75,3039405.25,2550817.75,2944308.25,113.15,122.75,117.81,120.88
4,256.08,284.13,320.74,405.61,409.71,1.35,1.4,1.36,1.44,1.42,3.18,3.28,3.55,2.61,2.75,70.04,65.14,64.29,57.37,45.85,2671.57,2696.02,2809.54,2851.51,2943.14,14.41,17.02,20.26,22.41,21.45,1.44,1.52,1.51,1.61,1.62,6.74,6.35,7.02,5.03,5.41,94954.2,129918.4141,112521.8125,112870,739.54,858.02,689.99,1056.45
4,10149,9534,4893,8929,17606,1,0.92,0.75,0.93,1.22,0.88,0.94,1.36,1.6,1.33,12.91,11.77,12.85,13.72,10.87,29102,29419,29480,29551,39919,28.4,27.07,26.42,27.58,30.25,1.54,1.48,1.2,1.4,1.74,24.74,25.32,31.21,34.17,28.55,9833693,10128625,9105220,10475431,48.08,59.93,58.43,59.13
3,3416.94,3092.46,2752.17,2612.14,1823.46,7.39,6.42,5.64,5.19,2.34,0.96,0.95,0.9,0.65,0.66,36.76,32.17,25.88,28.51,24.13,1234.81,1302.36,1304.64,1305,1306.44,34.08,38.17,37.05,33.16,30.63,8.19,7.22,6.44,6.06,2.68,29.53,28.42,27.24,22.39,21.46,1337406.75,1433660.375,1257525.625,1767951.75,116.11,97.24,84.65,95.29
5,6636.61,6188.76,6376.93,5889.46,7303.12,2.73,2.9,2.94,2.62,3.6,3.62,3.66,3.22,3.57,3.96,11.56,13.51,16.72,20.79,16.64,4815.4,4539.34,4583.85,4563.59,5260.75,44.17,39.22,41.4,40.72,42.67,3.37,3.61,3.59,3.3,4.47,22.44,22.95,21.51,19.92,22.96,770719.06,822667.0625,780275.125,1049554.375,183.64,289.19,250.75,323.7
4,-264,544,1009,-288,-200,0.42,0.44,0.51,0.39,0.52,-0.07,1.53,0.46,0.88,0.53,22.45,21.79,21.21,23.17,19.7,20613,20184,19390,19851,21614,4.94,4.13,5.82,4.03,4.94,0.96,1.09,1.18,0.96,0.98,0.48,10.37,3.53,6.58,4.3,725032.06,518901.1875,538292.125,668097.375,254.2,273.38,237.69,245.03
4,47196,44093,46322,44663,55523,1.39,1.34,1.48,1.41,1.58,0.41,-0.01,-1.08,0.06,0.7,18.33,19.46,19.13,20.11,16.91,110356,108429,95128,94044,88221,-39.67,-41.26,-18.2,-18.35,-8.04,1.66,1.62,1.72,1.6,1.8,16.16,0.44,-40.34,2.77,30.21,18400776,18735176,20028248,16165332,10.5,12.14,7.23,6.82
5,4741,3874,6273,6205,5236,0.84,0.79,0.92,0.91,0.85,1.94,2.13,2.26,2.19,2.23,17.66,19.77,19.49,19.93,14.63,16816,16864,19322,16707,16856,37.08,39.56,34.68,33.5,34.65,1.24,1.19,1.32,1.34,1.3,15.94,16.67,17.87,16.45,18.68,1036036.38,1053187.5,974243.875,1501013,176.59,177.51,134,145.02
4,1501,3671,4528,4467,5124,1.04,1.38,1.67,1.68,1.9,17.01,22.62,46.01,28.07,-17.01,19.49,20.29,19.71,20.69,14.67,9228,9310,9111,9251,8986,47.23,52.54,54.58,66.11,63.27,1.27,1.58,1.82,1.83,2.24,26.97,25.43,38.69,35.07,-30.55,201928.53,204912.5469,198282.8438,163007.4063,1924.75,2047.4,1356.68,1669.98
3,29631,27756,23509,19948,17702,2.45,2.31,2.09,2.16,1.91,0.78,1.1,0.64,0.71,0.81,19.47,18.89,17.86,16.86,14.9,56159,56167,56527,53653,53545,29.7,32.52,38.78,47.4,56.7,2.65,2.49,2.25,2.37,2.12,28.55,33.58,23.18,24.04,26.25,3862541.5,4223552.5,3672644.75,4053943.5,59.28,54.04,51.49,55.94
5,597,-5022,-1983,-6562,-4163,0.57,0.62,0.69,0.56,0.68,0.39,0.61,0.61,0.48,0.65,22.11,23.72,25.63,25.91,20.38,45535,46428,43805,44155,50393,36.12,38.54,41.91,49.61,55.82,1.02,0.83,0.92,0.76,0.87,19.3,26.08,27.27,22.52,32.26,5589933.5,5419445,5056596.5,5177568.5,52.11,54.67,46.67,44.88
5,2255,2174,2616,3018,4370,1.05,1.04,1.09,1.21,1.3,1.17,1.74,1.8,2.06,0.78,17.82,28.09,29.69,37.75,33,37641,37548,37565,32798,45392,26.46,12.81,12.22,11.26,11.55,1.27,1.26,1.32,1.44,1.56,8.14,12.52,12.96,14.66,6.57,1079361.25,1165271.125,996645.3125,896072,282.66,313.72,252.44,315.47
3,-15056,-18544,-14187,-13937,-14524,0.48,0.45,0.48,0.47,0.5,0.55,0.73,0.75,1.33,-0.14,18.24,18.07,20,27.99,21.06,44336,50528,52748,52628,59612,9.77,9.36,7.7,7.48,6.1,0.77,0.74,0.78,0.78,0.78,3.81,4.64,5,9.03,-1.11,6514603,7931499.5,6935172,6698252.5,76.13,70.87,40.47,44.08
4,5296,6133,5628,4804,4690,0.94,0.98,0.93,0.88,0.83,0.38,0.57,0.54,0.59,0.32,41.55,40.92,38.04,36.34,34.21,19905,20067,20001,19099,18272,8.41,9.3,10.53,11.97,11.71,1.58,1.68,1.54,1.44,1.43,8.92,12.61,11.89,12.62,7.3,1764113,2135156.75,1927378.75,1606907,85.42,86.34,82.73,92.23
4,-8199,-6535,-8594,-5914,-7456,0.25,0.28,0.23,0.46,0.38,1.13,1.41,1.77,3.36,1.91,50.4,53.34,59.32,58.51,42.62,75389,74669,76158,80333,80894,3.53,3.73,3.57,4.93,5.54,0.31,0.34,0.28,0.52,0.44,2.26,2.77,3.38,6.07,3.37,519054.94,572933.3125,464273.0938,501789,401.68,497.45,459.55,517.69
4,1913,1950,2048,2238,2405,1.38,1.36,1.4,1.43,1.55,0.01,0.03,0.11,0.15,0.14,99.62,167.36,125.12,100.08,76.75,1345,1280,1111,728,699,21.73,13.74,12.66,16.66,20.19,2.08,2.08,2.1,1.95,2.21,1.26,2.29,6.66,7.99,9.07,11900791,13578446,12098519,11685038,31.5,48.39,47.52,52.34
4,9189,9669,10113,9850,10154,1.57,1.77,1.68,1.68,1.75,1.45,0.76,0.51,0.44,0.37,3.77,4.35,7.31,15.83,18.61,6238,4909,5851,6161,6023,43.33,31.5,18.52,9.98,6.42,2.25,2.79,2.58,2.56,2.74,27.75,17.54,11.52,9.55,8.44,6681911,7058978.5,6306515.5,6964913,39.42,53.57,46.37,49.83
4,2165,1635,1524,640,1575,1.15,1.01,1.03,0.87,1.08,0.58,0.47,0.37,0.69,4.53,18.69,18.2,18.63,14.03,11.87,9961,9993,8412,8422,9195,41.27,42.68,39.02,39.03,127.9,1.48,1.31,1.41,1.16,1.34,21.47,14.96,11.7,19.71,143.72,5019161.5,4902166.5,4808940.5,4251820.5,39.8,35.78,31.18,54.36
4,5807,8351,7830,7011,5539,1.33,1.42,1.49,1.54,1.33,0.55,1.77,0.42,0.81,0.41,17.96,11.9,11.52,13.91,10.62,16403,16426,15933,16464,16469,17.48,23.6,153.46,104.38,117.15,1.55,1.77,1.88,1.76,1.57,13.31,22.3,10.51,18.22,8.97,3847445.5,3829833,3605317.25,3167364,76.66,86.51,70.95,91.87
4,3614.25,3589.67,4388.71,4406.7,4227.72,1.23,1.22,1.29,1.29,1.25,1.76,1.96,1.77,2.13,1.94,24.95,25.66,26.13,28.11,21.29,24.12,23.99,22.66,3382.07,3410.21,38.85,39.76,38.58,34.92,34.51,1.35,1.34,1.4,1.39,1.38,10.76,11.26,10.22,11.95,11.08,788970.38,905465.5,781958.375,959013.8125,191.39,208.43,166.05,215.72
3,5634.11,5779.05,5861.82,6787.6,7757.56,4.41,4.27,8.52,9,11.73,0.25,1.46,0.05,0.15,-0.01,38.53,45.97,61.52,65.81,105.11,3486.25,3494.04,2545.11,3288.69,4136.99,21.72,33.84,21.55,18.9,15.95,4.47,4.33,8.69,9.15,11.93,24.25,133.06,4.43,11.79,-1.04,4499541,4387720.5,4199041.5,5969649,36.25,31.64,24.93,30.87
4,643,1958,1628,1405,1486,0.94,1.57,1.44,1.34,1.3,0.73,5.3,-0.17,0.22,0.92,50.44,44.83,43.93,42.64,37.16,413,448,436,775,754,69.37,48.59,47.43,49.26,50.01,1.32,1.85,1.83,1.8,1.67,12.58,42.11,-4.43,4.89,14.15,595146.81,632119,553559.125,661450.375,270.54,266.41,240.12,305.3
4,2741.77,2546.59,2412.3,2659.2,2665.19,1.68,1.54,1.45,1.67,1.67,1.23,1.36,2.18,2.42,0.5,13.38,13.91,18.73,20.4,15.28,3422.65,3423.38,3528.54,3502.43,3539.98,61.93,54.94,53.27,53.32,39.69,2.61,2.44,2.24,2.55,2.61,17.56,17.31,24.52,25.21,5.51,608810.31,676451.875,608250.375,607726.1875,117.9,175.05,148.5,196.51
4,4076,4560,3668,2432,3004,0.88,0.92,0.85,0.76,0.82,0.3,0.36,-8.22,0.24,-5.32,28.15,27.04,23.75,27.33,9.49,16548,17076,16673,16705,16642,5.57,5.79,-32.86,-33.83,-69.43,1.35,1.39,1.29,1.19,1.23,5.34,5.95,-133.27,4.05,-98.94,4347930,4538021,4467924,4296554,39.57,40.82,15.67,17.98
5,2937.85,1486.19,1667.86,1687.47,1740.38,0.61,0.4,0.39,0.33,0.5,0.69,0.58,0.63,0.69,0.82,26.32,28.12,27.36,32.44,22.76,2233.62,11199.14,11331.71,11470.2,11464.47,60.01,58.56,58.18,57.95,59.51,1.53,1.23,1.25,1.22,1.24,7.56,7.55,7.76,7.93,8.07,2221670,2335569.75,2303518.25,1957190.25,54.43,61.63,46.11,51.75
4,1553,1133,1155,1127,1610,1.62,1.38,1.3,1.37,1.58,1.02,1.08,1.08,0.99,1,19.09,19.41,17.01,18.08,14.37,16321,16327,17290,16788,17221,25.73,26.18,26.6,27.29,26.89,1.81,1.55,1.41,1.52,1.73,27.68,28.42,28.74,26.72,26.97,1841968.88,1982846.375,1887699.875,2030730.25,78.4,72.51,61.27,68.86
4,-963,-537,-745,-219,-234,0.51,0.54,0.52,0.65,0.67,2.53,2.72,2.5,2.55,1.48,19.51,20.28,18.26,19.21,14.21,11997,12063,12397,12734,12207,17.56,17.56,17.93,17.8,16.03,0.67,0.78,0.73,0.9,0.9,23.84,24.68,23.13,24.76,14.51,401848.97,411890.7188,369724.125,458811.1875,200.94,195.93,154.75,174.51
4,11738,12054,11959,12572,11070,0.91,0.93,0.93,0.98,0.9,3.29,2.85,2.69,2,2,11.73,11.79,11.23,12.97,11.55,36483,36945,38546,38291,37093,41.53,42.24,39.24,42.57,35.8,1.43,1.43,1.44,1.47,1.42,13.97,11.23,11.71,8.35,10.27,873787.19,1111124.75,1026155.313,790737.625,135.49,148.34,120.43,127.72
4,3304,3544,3603,3786,3270,3.28,5.95,5.99,6,3.61,1.58,2.01,1.59,1.63,1.18,54.55,66.22,50.99,52.33,42.1,2513,1862,1871,1881,1893,24.34,24.72,24.5,23.94,21.86,3.66,6.79,6.82,6.69,4.1,27.54,35.32,25.8,25.08,20.14,415803.84,499413.1875,424622.25,343822,378.23,325.53,278.01,373.1
4,892.8,1314.7,904.3,1767,1643,1.3,1.39,1.17,1.75,1.55,1.96,1.64,2.01,1.91,2.6,25.79,27.75,27.29,30.17,24.84,5596.9,5417.8,5277.4,4752,5968,811.64,417.83,301.07,265.49,435.82,1.45,1.71,1.42,1.92,1.7,32.66,25.57,30.58,29.12,37.83,247195.14,312500.4063,268908.4375,270208.1875,201.43,241.87,229.16,278.01
5,3742,4024,4261,4377,4559,2.31,3.08,3.04,2.28,2.54,0.58,0.43,0.27,0.68,0.66,20.94,22.13,24.76,30.8,30.36,2955,2962,2950,2948,2675,16.75,15.41,14.54,12.43,12.69,2.63,3.46,3.43,2.5,2.78,24.49,23.5,15.91,26.44,28.24,3001430.75,2925776.25,2951028.5,2711919.25,48.15,59.74,61.6,77.51
3,2114,4101,4022,4099,3474,1.13,1.97,1.95,2.06,1.9,1.82,1.92,2.05,2,1.78,19.32,20.44,20.81,23.73,18.86,7934,7993,7826,7937,7694,68.2,71.7,76.43,80.29,90.89,1.53,2.87,2.81,2.9,2.71,16.81,17.26,18.97,18.48,17.53,444862.03,496056.5,426663.9375,459687.4063,147.98,178.54,151.04,174.6
4,1135.23,715.45,523.38,476.49,140.64,1.55,1.03,0.88,0.85,0.7,0.96,0.99,0.98,0.75,0.55,18.02,19.8,20.5,23,19.04,6234.52,5986.53,5690.08,5491.92,5794.19,14.3,13.76,13.16,11.86,10.41,2.34,1.52,1.35,1.32,1.08,23.04,24.1,24.48,19.24,15.64,1003026.81,1144744.75,1002058.313,941589.625,112.86,116.92,95.8,121.24
3,-5452,-6039,-7069,-9890,-9753,0.34,0.32,0.32,0.28,0.29,1.25,1.13,0.75,0.95,1.07,11.71,10.59,11.14,12.37,10.13,18041,17610,16836,42055,41924,19.7,18.57,16.08,15.03,14.41,0.78,0.76,0.73,0.66,0.66,3.35,2.96,1.99,2.46,2.64,2520018.5,2729078.25,2641596.5,2746735,55.19,59.59,42.63,41.98
5,-159.7,-172.3,-245.6,-232.6,579.8,0.55,0.56,0.51,0.51,0.81,0.74,0.21,0.46,1.3,0.42,30.37,52.13,55.68,59.06,44.3,10307,10224.6,9954.9,9734.4,9621.4,8.31,7.12,7.28,11.98,10.5,0.93,0.93,0.9,0.9,1.35,13.14,3.83,8.14,24.17,7.53,1334720.75,1279563.75,1168769.25,1181281.25,89.23,103.73,73.98,104.61
4,1276.33,1621.27,1646.54,1655.21,1347.18,2.34,2.74,2.73,2.83,2.29,0.48,0.54,0.55,0.47,0.52,27.65,31.65,28.93,31.05,27.1,22.97,21.88,21.7,28.46,30.32,27.42,27.69,27.3,28.47,29.73,3.02,3.3,3.31,3.5,2.92,27.64,26.49,26.37,25.06,26.25,973567.5,1275243,1053033.25,764106.8125,65.92,63.38,58.07,69.26
3,5793.9,4698.9,4016,3518,3368.6,1.9,1.53,1.44,1.31,1.28,7.17,7.85,8.4,8.1,8.1,9.39,8.19,7.52,9.22,9.26,6451.8,6443.8,6434.6,6441.1,6365.4,33.47,41.99,38.87,44.64,44.58,2.84,2.46,1.91,1.72,1.73,40.37,41.31,42.94,39.22,39.59,802717.81,782583.1875,757068.25,598431.375,234.25,290.82,311.39,265.12
4,-185.4,-1252.68,41.95,109.8,-292.2,0.49,0.44,0.55,0.5,0.48,2.67,5.13,6.28,2.71,3.53,24.01,24.3,28.41,30.09,22.77,11559.2,11179.99,10624.92,10427.5,11515,31.07,31.44,35.05,39.25,47.94,0.96,0.8,1.01,1.02,0.94,6.07,9.66,11.84,6.04,7.76,146554.97,175628.5781,143665.4844,175153,466.14,563.41,458.62,582.97
4,-5697,-6070.1,-6674,-7727,-5743,0.39,0.44,0.42,0.39,0.41,1.56,3.57,2.84,2.3,1.65,16.79,16.74,16.84,17.13,13.13,43056.7,44719,45432,45334,45260,33.06,29.81,29.33,28.67,28.15,0.77,0.77,0.74,0.69,0.75,6.24,10.01,8.96,7.3,6.78,436438.59,518752.1563,448280.75,495934.8125,163.42,176.81,143.49,157.9
3,497.77,522.56,558.18,464.82,503.33,9.8,9.45,8.89,5.75,6.61,1.42,1.3,1.46,1.35,2.01,52.47,65.73,61.91,70.21,55.71,90.85,89.71,92.03,97.99,96.3,30.37,30.35,31.49,29.74,31.8,9.8,9.45,8.89,5.75,6.61,42.19,38.33,41.04,38.74,44.28,120399.6,128143.5859,118457.3438,135837.4063,341.9,374.08,399.03,501.88
